,agent1_strategy,agent1_reward,agent2_strategy,agent2_reward,temptation,reward,punishment,sucker,agent1_final_strategy,agent1_defection_ratio,agent2_final_strategy,agent2_defection_ratio,agent1_updating_times,agent2_updating_times,model,game
109,3000.0,5000.0,3000.0,5000.0,0.09,2.83,0.0,-0.91,0.0,0.0148000000044703,0.0,0.0201999992132186,1250.0,1250.0,alternative,SH
110,3000.0,7000.0,3000.0,7000.0,0.29,1.0,0.0,-1.63,0.0,0.017428571358323,0.0,0.0118571426719427,1750.0,1750.0,alternative,SH
111,8000.0,8000.0,3000.0,8000.0,0.17,3.88,0.0,-0.8300000000000001,0.0,0.0135000003501772,0.0,0.0136249996721744,2000.0,2000.0,alternative,SH
112,3000.0,4000.0,3000.0,4000.0,0.92,3.33,0.0,-0.08,0.0,0.0282499995082616,0.0,0.02449999935925,1000.0,1000.0,alternative,SH
113,3000.0,1000.0,3000.0,1000.0,0.8,1.0,0.0,-0.35,1.0,0.9616666436195374,1.0,0.9459999799728394,750.0,750.0,alternative,SH
114,5000.0,1000.0,3000.0,1000.0,0.63,1.0,0.0,-0.64,1.0,0.9801999926567078,1.0,0.967199981212616,1250.0,750.0,alternative,SH
115,3000.0,1000.0,4000.0,1000.0,0.86,1.0,0.0,-0.41,1.0,0.9807500243186952,1.0,0.953249990940094,750.0,1000.0,alternative,SH
116,3000.0,5000.0,3000.0,6000.0,0.8,1.22,0.0,-0.1999999999999999,0.0,0.0359999984502792,0.0,0.0303333327174186,1250.0,1500.0,alternative,SH
117,3000.0,1000.0,3000.0,1000.0,0.19,2.1,0.0,-0.81,1.0,0.9273333549499512,1.0,0.9616666436195374,750.0,750.0,alternative,SH
118,5000.0,1000.0,3000.0,1000.0,0.88,1.73,0.0,-0.1200000000000001,1.0,0.9667999744415284,1.0,0.9801999926567078,1250.0,750.0,alternative,SH
119,3000.0,1000.0,3000.0,1000.0,0.54,1.16,0.0,-0.4599999999999998,1.0,0.968999981880188,1.0,0.9683333039283752,750.0,750.0,alternative,SH
120,3000.0,7000.0,6000.0,7000.0,0.8,2.45,0.0,-0.2000000000000001,0.0,0.0108571425080299,0.0,0.0179999992251396,1750.0,1750.0,alternative,SH
121,3000.0,1000.0,4000.0,1000.0,0.89,1.0,0.0,-0.55,1.0,0.9710000157356262,1.0,0.9580000042915344,750.0,1000.0,alternative,SH
122,3000.0,6000.0,3000.0,6000.0,0.32,1.17,0.0,-0.6799999999999999,0.0,0.0131666669622063,0.0,0.0171666666865348,1500.0,1500.0,alternative,SH
123,3000.0,1000.0,6000.0,4000.0,0.12,1.47,0.0,-0.88,1.0,0.9854999780654908,1.0,0.981333315372467,750.0,1500.0,alternative,SH
124,3000.0,4000.0,3000.0,4000.0,0.23,1.82,0.0,-0.7699999999999998,0.0,0.025000000372529,0.0,0.0257500000298023,1000.0,1000.0,alternative,SH
125,3000.0,17000.0,3000.0,17000.0,0.43,3.14,0.0,-0.5699999999999998,0.0,0.0097058825194835,0.0,0.0089411763474345,4250.0,4250.0,alternative,SH
126,3000.0,4000.0,3000.0,3000.0,0.81,1.0,0.0,-0.3899999999999999,1.0,0.9815000295639038,1.0,0.9570000171661376,1000.0,750.0,alternative,SH
127,3000.0,1000.0,3000.0,3000.0,0.85,2.06,0.0,-0.1499999999999999,1.0,0.9679999947547911,1.0,0.9653333425521852,750.0,750.0,alternative,SH
128,3000.0,6000.0,3000.0,6000.0,0.02,2.37,0.0,-0.98,0.0,0.0158333331346511,0.0,0.0216666664928197,1500.0,1500.0,alternative,SH
129,3000.0,6000.0,3000.0,5000.0,0.51,1.0,0.0,-1.3,1.0,0.984499990940094,1.0,0.9733333587646484,1500.0,1250.0,alternative,SH
130,3000.0,4000.0,3000.0,1000.0,0.42,2.43,0.0,-0.5799999999999998,1.0,0.975000023841858,1.0,0.9729999899864196,1000.0,750.0,alternative,SH
131,3000.0,5000.0,3000.0,3000.0,0.23,1.0,0.0,-1.09,0.0,0.0153999999165534,0.0,0.0189999993890523,1250.0,750.0,alternative,SH
132,3000.0,1000.0,3000.0,2000.0,0.13,1.0,0.0,-1.61,1.0,0.9746666550636292,1.0,0.9676666855812072,750.0,750.0,alternative,SH
133,3000.0,1000.0,3000.0,1000.0,0.34,3.8,0.0,-0.6600000000000001,1.0,0.9806666374206544,1.0,0.9446666836738586,750.0,750.0,alternative,SH
134,3000.0,4000.0,3000.0,4000.0,0.93,3.86,0.0,-0.0699999999999998,0.0,0.0215000007301569,0.0,0.0497500002384185,1000.0,1000.0,alternative,SH
135,27000.0,28000.0,10000.0,28000.0,0.33,3.23,0.0,-0.6699999999999999,0.0,0.0089642852544784,0.0,0.0082857143133878,7000.0,7000.0,alternative,SH
136,3000.0,1000.0,3000.0,1000.0,0.52,1.22,0.0,-0.48,1.0,0.9606666564941406,1.0,0.9663333296775818,750.0,750.0,alternative,SH
137,3000.0,1000.0,3000.0,1000.0,0.7,1.0,0.0,-0.91,1.0,0.975333333015442,1.0,0.9493333101272584,750.0,750.0,alternative,SH
138,3000.0,12000.0,7000.0,12000.0,0.37,2.74,0.0,-0.6300000000000003,0.0,0.0109999999403953,0.0,0.0106666665524244,3000.0,3000.0,alternative,SH
139,11000.0,9000.0,10000.0,8000.0,0.96,1.76,0.0,-0.04,1.0,0.9752727150917052,1.0,0.9861817955970764,2750.0,2500.0,alternative,SH
140,3000.0,1000.0,3000.0,1000.0,0.95,1.0,0.0,-0.56,1.0,0.9683333039283752,1.0,0.9710000157356262,750.0,750.0,alternative,SH
141,3000.0,4000.0,4000.0,4000.0,0.26,1.98,0.0,-0.74,0.0,0.0232500005513429,0.0,0.0274999998509883,1000.0,1000.0,alternative,SH
142,3000.0,4000.0,3000.0,4000.0,0.5,1.0,0.0,-1.36,1.0,0.975499987602234,1.0,0.9735000133514404,1000.0,1000.0,alternative,SH
143,3000.0,1000.0,4000.0,1000.0,0.3,3.64,0.0,-0.7000000000000002,1.0,0.944000005722046,1.0,0.9707499742507936,750.0,1000.0,alternative,SH
144,3000.0,5000.0,6000.0,6000.0,0.29,1.04,0.0,-0.7100000000000001,0.0,0.0209999997168779,0.0,0.0191666670143604,1250.0,1500.0,alternative,SH
145,3000.0,5000.0,3000.0,5000.0,0.05,2.65,0.0,-0.95,0.0,0.0179999992251396,0.0,0.0179999992251396,1250.0,1250.0,alternative,SH
