,agent1_strategy_converge,agent1_reward_converge,agent1_network_converge,temptation,reward,punishment,sucker,agent1_final_strategy,agent1_defection_ratio,loss,agent1_playing_times,model,opponent,h,epsilon_decay,game
103,,9000.0,,1.39,1.0,0.0,-0.41,0,0.4562000036239624,0.1332462705790136,10000,DQN,TitForTat,2,0.995,PD
104,,,,1.74,1.0,0.0,-0.85,0,0.4717999994754791,0.11600333485398885,10000,DQN,TitForTat,2,0.995,PD
105,,3000.0,,2.4,1.0,0.0,-0.85,0,0.5185999870300293,0.23358413375628698,10000,DQN,TitForTat,2,0.995,PD
106,3000.0,3000.0,4000.0,1.23,1.0,0.0,-0.94,0,0.09724999964237213,0.03118947296082596,4000,DQN,TitForTat,2,0.995,PD
107,,3000.0,,1.49,1.0,0.0,-0.14,0,0.5249999761581421,0.1929303605957431,10000,DQN,TitForTat,2,0.995,PD
108,,4000.0,,1.75,1.0,0.0,-0.4,0,0.5184000134468079,0.18865713256819788,10000,DQN,TitForTat,2,0.995,PD
109,,,10000.0,1.01,1.0,0.0,-0.3,0,0.4212999939918518,0.12155682836670033,10000,DQN,TitForTat,2,0.995,PD
110,,3000.0,,2.12,1.0,0.0,-0.98,0,0.511900007724762,0.14399210819733044,10000,DQN,TitForTat,2,0.995,PD
111,,,,1.02,1.0,0.0,-0.04,0,0.477400004863739,0.12897310637415707,10000,DQN,TitForTat,2,0.995,PD
112,,,,1.01,1.0,0.0,-0.18,0,0.45739999413490295,0.13218343105182617,10000,DQN,TitForTat,2,0.995,PD
113,,3000.0,,2.68,1.0,0.0,-0.79,0,0.5196999907493591,0.31291450477266236,10000,DQN,TitForTat,2,0.995,PD
114,,3000.0,,2.74,1.0,0.0,-0.82,0,0.5188999772071838,0.31260616482371506,10000,DQN,TitForTat,2,0.995,PD
115,,3000.0,,2.43,1.0,0.0,-0.82,0,0.5202000141143799,0.24859042611155746,10000,DQN,TitForTat,2,0.995,PD
116,,,10000.0,1.38,1.0,0.0,-0.7,0,0.44909998774528503,0.1354371851577766,10000,DQN,TitForTat,2,0.995,PD
117,,2000.0,,1.01,1.0,0.0,-0.48,0,0.3621000051498413,0.08740157059868726,10000,DQN,TitForTat,2,0.995,PD
118,,3000.0,,2.01,1.0,0.0,-0.57,1,0.5214999914169312,0.2060104201026159,10000,DQN,TitForTat,2,0.995,PD
119,,6000.0,,1.64,1.0,0.0,-0.71,0,0.46389999985694885,0.12392642783787118,10000,DQN,TitForTat,2,0.995,PD
120,,10000.0,,1.92,1.0,0.0,-0.63,1,0.7148000001907349,0.19681995721050793,10000,DQN,TitForTat,5,0.95,PD
121,6000.0,5000.0,5000.0,1.01,1.0,0.0,-0.06,0,0.07883333414793015,0.07513230962074789,6000,DQN,TitForTat,5,0.95,PD
122,,8000.0,,1.24,1.0,0.0,-0.28,1,0.6539000272750854,0.10675096549053989,10000,DQN,TitForTat,5,0.95,PD
123,,4000.0,,1.39,1.0,0.0,-0.41,1,0.5231999754905701,0.2669912061526012,10000,DQN,TitForTat,5,0.95,PD
124,6000.0,2000.0,5000.0,1.74,1.0,0.0,-0.85,0,0.04633333161473274,0.047425816104342766,6000,DQN,TitForTat,5,0.95,PD
125,,,,2.4,1.0,0.0,-0.85,1,0.7164999842643738,0.2690147420689769,10000,DQN,TitForTat,5,0.95,PD
126,6000.0,2000.0,5000.0,1.23,1.0,0.0,-0.94,0,0.03966666758060455,0.043714113123019836,6000,DQN,TitForTat,5,0.95,PD
127,,,,1.49,1.0,0.0,-0.14,1,0.6471999883651733,0.17840878116624947,10000,DQN,TitForTat,5,0.95,PD
128,7000.0,6000.0,9000.0,1.75,1.0,0.0,-0.4,0,0.06111111119389534,0.08990559022198581,9000,DQN,TitForTat,5,0.95,PD
129,,,,1.01,1.0,0.0,-0.3,0,0.5698000192642212,0.10936443101163487,10000,DQN,TitForTat,5,0.95,PD
130,10000.0,9000.0,9000.0,2.12,1.0,0.0,-0.98,0,0.062300000339746475,0.10804939157828987,10000,DQN,TitForTat,5,0.95,PD
131,6000.0,5000.0,6000.0,1.02,1.0,0.0,-0.04,0,0.08016666769981384,0.07577776068972522,6000,DQN,TitForTat,5,0.95,PD
132,,10000.0,,1.01,1.0,0.0,-0.18,0,0.37709999084472656,0.508956294303671,10000,DQN,TitForTat,5,0.95,PD
133,,,,2.68,1.0,0.0,-0.79,0,0.22529999911785126,0.29984982706086727,10000,DQN,TitForTat,5,0.95,PD
134,,,,2.74,1.0,0.0,-0.82,0,0.41499999165534973,0.5980054421964436,10000,DQN,TitForTat,5,0.95,PD
135,8000.0,7000.0,9000.0,2.43,1.0,0.0,-0.82,0,0.06422222405672073,0.08672542004066482,9000,DQN,TitForTat,5,0.95,PD
136,,10000.0,9000.0,1.38,1.0,0.0,-0.7,0,0.7278000116348267,0.06539772371169696,10000,DQN,TitForTat,5,0.95,PD
137,6000.0,2000.0,5000.0,1.01,1.0,0.0,-0.48,0,0.04216666519641876,0.051346474861949515,6000,DQN,TitForTat,5,0.95,PD
138,,9000.0,,2.01,1.0,0.0,-0.57,1,0.6438000202178955,0.18377252613438136,10000,DQN,TitForTat,5,0.95,PD
139,6000.0,5000.0,6000.0,1.64,1.0,0.0,-0.71,0,0.03216666728258133,0.058737148185608025,6000,DQN,TitForTat,5,0.95,PD
140,,,,1.92,1.0,0.0,-0.63,1,0.5514000058174133,0.5037836184215362,10000,DQN,TitForTat,5,0.99,PD
141,,,,1.01,1.0,0.0,-0.06,1,0.5444999933242798,0.4026110060439421,10000,DQN,TitForTat,5,0.99,PD
142,,,,1.24,1.0,0.0,-0.28,1,0.5443999767303467,0.40825167171228277,10000,DQN,TitForTat,5,0.99,PD
143,,,,1.39,1.0,0.0,-0.41,1,0.5482000112533569,0.4137296889186273,10000,DQN,TitForTat,5,0.99,PD
144,9000.0,9000.0,9000.0,1.74,1.0,0.0,-0.85,0,0.2980000078678131,0.18870400094465922,9000,DQN,TitForTat,5,0.99,PD
145,,,,2.4,1.0,0.0,-0.85,1,0.5637000203132629,0.58295029393962,10000,DQN,TitForTat,5,0.99,PD
146,6000.0,2000.0,4000.0,1.23,1.0,0.0,-0.94,0,0.0481666661798954,0.04705017710596763,6000,DQN,TitForTat,5,0.99,PD
147,,10000.0,,1.49,1.0,0.0,-0.14,1,0.7376000285148621,0.42681976368983116,10000,DQN,TitForTat,5,0.99,PD
148,,10000.0,,1.75,1.0,0.0,-0.4,0,0.5346999764442444,0.6537900559208143,10000,DQN,TitForTat,5,0.99,PD
149,,,,1.01,1.0,0.0,-0.3,1,0.7049999833106995,0.31879550970583875,10000,DQN,TitForTat,5,0.99,PD
150,,,,2.12,1.0,0.0,-0.98,0,0.6383000016212463,0.4247515594171189,10000,DQN,TitForTat,5,0.99,PD
151,,,,1.02,1.0,0.0,-0.04,1,0.5458999872207642,0.4020099315997977,10000,DQN,TitForTat,5,0.99,PD
152,4000.0,3000.0,4000.0,1.01,1.0,0.0,-0.18,0,0.2462500035762787,0.15029687507860742,4000,DQN,TitForTat,5,0.99,PD
153,,,,2.68,1.0,0.0,-0.79,0,0.5490000247955322,0.6424984325275663,10000,DQN,TitForTat,5,0.99,PD
154,,10000.0,,2.74,1.0,0.0,-0.82,0,0.5245000123977661,0.8042115508464568,10000,DQN,TitForTat,5,0.99,PD
155,,10000.0,,2.43,1.0,0.0,-0.82,0,0.5271000266075134,0.7428397223206447,10000,DQN,TitForTat,5,0.99,PD
156,7000.0,3000.0,8000.0,1.38,1.0,0.0,-0.7,0,0.10562500357627869,0.09752067995868491,8000,DQN,TitForTat,5,0.99,PD
157,,,,1.01,1.0,0.0,-0.48,1,0.7972000241279602,0.17254680793901567,10000,DQN,TitForTat,5,0.99,PD
158,,,,2.01,1.0,0.0,-0.57,1,0.5257999897003174,0.5219825335455799,10000,DQN,TitForTat,5,0.99,PD
159,10000.0,9000.0,,1.64,1.0,0.0,-0.71,0,0.287200003862381,0.19687446430111658,10000,DQN,TitForTat,5,0.99,PD
160,,,,1.92,1.0,0.0,-0.63,1,0.527899980545044,0.5779773505814768,10000,DQN,TitForTat,5,0.995,PD
161,,10000.0,,1.01,1.0,0.0,-0.06,1,0.5788999795913696,0.3044967577169802,10000,DQN,TitForTat,5,0.995,PD
162,,10000.0,,1.24,1.0,0.0,-0.28,1,0.5939000248908997,0.26189043331400047,10000,DQN,TitForTat,5,0.995,PD
163,,,,1.39,1.0,0.0,-0.41,1,0.5928999781608582,0.3108047852742957,10000,DQN,TitForTat,5,0.995,PD
164,,,,1.74,1.0,0.0,-0.85,1,0.5758000016212463,0.27846725272194545,10000,DQN,TitForTat,5,0.995,PD
165,,,,2.4,1.0,0.0,-0.85,1,0.5315999984741211,0.6388251235479133,10000,DQN,TitForTat,5,0.995,PD
166,,,,1.23,1.0,0.0,-0.94,1,0.739799976348877,0.311883637076225,10000,DQN,TitForTat,5,0.995,PD
167,,10000.0,,1.49,1.0,0.0,-0.14,0,0.5476999878883362,0.48572392776017614,10000,DQN,TitForTat,5,0.995,PD
168,,10000.0,,1.75,1.0,0.0,-0.4,0,0.5375000238418579,0.5449333672658184,10000,DQN,TitForTat,5,0.995,PD
169,,,,1.01,1.0,0.0,-0.3,1,0.6988999843597412,0.2817989860979114,10000,DQN,TitForTat,5,0.995,PD
170,,7000.0,,2.12,1.0,0.0,-0.98,0,0.5289000272750854,0.4376640792525903,10000,DQN,TitForTat,5,0.995,PD
171,,,,1.02,1.0,0.0,-0.04,1,0.5407000184059143,0.3403509650782767,10000,DQN,TitForTat,5,0.995,PD
172,,,,1.01,1.0,0.0,-0.18,1,0.6448000073432922,0.2679627979855345,10000,DQN,TitForTat,5,0.995,PD
173,,10000.0,,2.68,1.0,0.0,-0.79,0,0.527899980545044,0.6405779857489327,10000,DQN,TitForTat,5,0.995,PD
174,,,,2.74,1.0,0.0,-0.82,1,0.5310999751091003,0.6749908718806358,10000,DQN,TitForTat,5,0.995,PD
175,,10000.0,,2.43,1.0,0.0,-0.82,0,0.5342000126838684,0.6012177641796901,10000,DQN,TitForTat,5,0.995,PD
176,,6000.0,9000.0,1.38,1.0,0.0,-0.7,1,0.7099000215530396,0.3450492108681442,10000,DQN,TitForTat,5,0.995,PD
177,,,,1.01,1.0,0.0,-0.48,1,0.7361999750137329,0.28337723426344535,10000,DQN,TitForTat,5,0.995,PD
