strategy_convergent_episode,network_convergent_episode,temptation,reward,punishment,sucker,final_strategy,defection_ratio,game
15898.0,16324.0,0.92,1.32,0.0,-0.08000000000000007,1.0,0.7653148770332336,SH
15898.0,30523.0,0.87,1.0,0.0,-0.88,1.0,0.9248108267784119,SH
15898.0,16324.0,0.26,1.24,0.0,-0.74,1.0,0.7701543569564819,SH
20404.0,21110.0,0.66,1.3,0.0,-0.3400000000000001,0.0,0.5298436880111694,SH
44491.0,55000.0,0.81,2.92,0.0,-0.18999999999999995,0.0,0.18316851556301117,SH
26043.0,29532.0,0.55,2.55,0.0,-0.44999999999999973,0.0,0.23229040205478668,SH
17781.0,19040.0,0.53,3.55,0.0,-0.46999999999999975,1.0,0.4876050353050232,SH
18579.0,20119.0,0.25,1.8900000000000001,0.0,-0.75,1.0,0.7620657086372375,SH
15898.0,16208.0,0.1,1.0,0.0,-1.42,1.0,0.8527270555496216,SH
20404.0,21110.0,0.89,2.85,0.0,-0.10999999999999988,0.0,0.4851255416870117,SH
44491.0,47474.0,0.89,3.04,0.0,-0.10999999999999988,0.0,0.21891982853412628,SH
32749.0,34093.0,0.63,2.25,0.0,-0.3700000000000001,0.0,0.20499809086322784,SH
17781.0,20119.0,0.34,3.08,0.0,-0.6600000000000001,1.0,0.6221979260444641,SH
16404.0,19040.0,0.35,1.98,0.0,-0.6499999999999999,1.0,0.729411780834198,SH
44491.0,55000.0,0.72,2.09,0.0,-0.2799999999999998,0.0,0.17868250608444214,SH
15898.0,29067.0,0.89,1.71,0.0,-0.10999999999999988,1.0,0.807410478591919,SH
40317.0,40468.0,0.88,1.0,0.0,-1.02,1.0,0.9355787038803101,SH
15898.0,19848.0,0.77,1.0,0.0,-0.7999999999999999,1.0,0.8832123875617981,SH
